,转债代码,转债名称,正股代码,正股名称,现价,涨跌幅,成交额,换手率,近5日涨跌幅,近20日涨跌幅,近3月涨跌幅,近1年涨跌幅,剩余规模（亿元）,转股价值,溢价率,正股价格,正股涨跌幅,正股成交额,正股波动率,双低指标,纯债价值,转债/正股流通市值比,自选标记,更新时间,上市日期,发行规模（亿元）,债券评级,到期日期,剩余年限,转股价,回售触发价,强赎触发价,距离转股开始天数,转股开始日期,下修条件,下修次数,下修成功次数,强赎标记,确定强赎日期,确定强赎价格,强赎天数统计
233,123096,思创转债,1300078,思创医惠,106.529,0.31,70.21,0.08,-1.77,-0.24,0.81,-1.36,8.169,58.52,82.04,4.84,0.41,760.63,39.99,188.57,80.28,21.8,0,09:50:00,2021-03-01,8.17,A,27-01-25,4.403,8.27,5.79,10.75,0,2021-08-02,15/30  85%,0,0,,,,0/15 | 30
234,123097,美力转债,1300611,美力科技,106.288,0.46,1823.78,20.36,-13.67,-22.13,-12.87,-12.16,0.845,106.83,-0.51,9.86,0.82,1310.15,56.51,105.78,100.43,6.0,0,09:50:03,2021-02-24,3.0,A+,27-01-26,,9.23,6.46,12.0,0,2021-08-02,15/30  85%,0,0,R,2022-09-02,100.430,23/15 | 30
235,123098,一品转债,1300723,一品红,125.878,0.48,206.99,0.39,-0.88,-3.66,-2.98,-7.16,4.236,98.62,27.64,24.96,0.77,777.94,38.63,153.52,96.45,12.9,0,09:50:00,2021-02-23,4.8,AA-,27-01-28,4.411,25.31,17.72,32.9,0,2021-08-03,15/30  85%,0,0,,,,0/15 | 30
236,123099,普利转债,1300630,普利制药,113.917,0.21,87.98,0.09,-0.68,-1.37,3.46,-4.97,8.499,60.69,87.7,27.82,2.77,2208.91,45.85,201.62,95.85,9.5,0,09:50:03,2021-03-08,8.5,AA-,27-02-08,4.441,45.84,32.09,59.59,0,2021-08-23,15/30  85%,0,0,,,,0/15 | 30
237,123100,朗科转债,1300543,朗科智能,119.415,0.18,173.28,0.38,-3.8,-7.14,3.68,-5.66,3.798,83.55,42.93,9.7,0.41,509.07,44.5,162.35,91.21,18.6,0,09:49:51,2021-03-16,3.8,AA-,27-02-08,4.441,11.61,8.13,15.09,0,2021-08-23,15/30  85%,0,0,,,,0/15 | 30
238,123101,拓斯转债,1300607,拓斯达,112.791,-0.36,68.34,0.09,-2.7,-4.22,5.17,-7.17,6.698,49.08,129.81,12.84,-0.54,1234.79,47.85,242.6,98.32,18.3,0,09:49:48,2021-03-29,6.7,AA,27-03-09,4.521,26.16,18.31,34.01,0,2021-09-16,15/30  85%,0,0,,,,0/15 | 30
239,123103,震安转债,1300767,震安科技,138.319,-1.11,414.75,1.2,-4.28,-13.01,-3.61,-33.26,2.494,113.63,21.73,53.78,-2.92,1479.32,48.6,160.05,85.03,2.3,0,09:50:03,2021-03-31,2.85,A+,27-03-11,4.526,47.33,33.13,61.53,0,2021-09-22,15/30  80%,0,0,,,,5/15 | 30
240,123104,卫宁转债,1300253,卫宁健康,113.687,0.13,79.82,0.07,-1.48,-1.87,-0.97,-5.25,9.701,40.35,181.75,7.15,0.99,1426.91,37.47,295.44,106.8,7.3,0,09:49:51,2021-03-31,9.703,AA,27-03-15,4.537,17.72,12.4,23.04,0,2021-09-22,15/30  85%,0,0,,,,0/15 | 30
241,123105,拓尔转债,1300229,拓尔思,135.825,0.87,1396.77,1.29,-5.42,-2.98,5.29,5.45,7.997,131.69,3.14,13.05,0.23,2032.0,43.23,138.97,93.42,8.6,0,09:50:03,2021-04-27,8.0,AA-,27-03-19,4.548,9.91,6.94,12.88,0,2021-09-27,15/30  85%,0,0,G,,,0/15 | 30
242,123106,正丹转债,1300641,正丹股份,117.647,0.17,100.28,0.27,0.08,-1.63,4.41,-2.77,3.2,78.66,49.56,5.86,1.03,309.74,42.54,167.21,96.7,11.2,0,09:49:54,2021-04-20,3.2,AA-,27-03-23,4.559,7.45,5.22,9.69,0,2021-09-30,15/30  90%,0,0,,,,0/15 | 30
